"row","profession","heading","sub-heading","level","grade","content"
22,"Government Economic Service","Application of Knowledge","Synthesising the evidence","SCS","Grade 5","Creates and supports teams that challenge and improve the evidence base, draw on diverse perspectives across professional boundaries and consider economic inequality and redistribution as required."
23,"Government Economic Service","Application of Knowledge","Deliver economic analysis","Level 1 - Awareness - Apprentice/Placement","EO","Can contribute to an economic project with support."
24,"Government Economic Service","Application of Knowledge","Deliver economic analysis","Level 2 – Practitioner: HEO","HEO","Works independently on an economic/analytical project."
25,"Government Economic Service","Application of Knowledge","Deliver economic analysis","Level 2 – Practitioner: HEO","HEO","Escalates analytical issues appropriately."
26,"Government Economic Service","Application of Knowledge","Deliver economic analysis","Level 2 – Practitioner: SEO","SEO","Is competent in scoping and leading analytical research design."
27,"Government Economic Service","Application of Knowledge","Deliver economic analysis","Level 2 – Practitioner: SEO","SEO","Can take responsibility for wider analytical projects."
28,"Government Economic Service","Application of Knowledge","Deliver economic analysis","Level 3 – Expert: G7","Grade 7","Uses horizon scanning methodologies to anticipate new trends, opportunities and challenges that may influence outcomes of interest to the customers."
29,"Government Economic Service","Application of Knowledge","Deliver economic analysis","Level 3 – Expert: G7","Grade 7","Delivery of high quality analysis to the standards set out in the green, aqua and magenta books."
30,"Government Economic Service","Application of Knowledge","Deliver economic analysis","Level 3 – Expert: G6","Grade 6","Uses horizon scanning methodologies to anticipate new trends, opportunities and challenges that may influence outcomes of interest to team/departments/stakeholders."
31,"Government Economic Service","Application of Knowledge","Deliver economic analysis","Level 3 – Expert: G6","Grade 6","Leads the delivery, or contributes to delivery, of policy appraisal, impact assessments, evidence-based business cases, and evaluation to the standards set out in the Green. Aqua and Magenta Books. This will include engaging with, and bringing in expertise from, other analytical professions as appropriate."
32,"Government Economic Service","Application of Knowledge","Deliver economic analysis","SCS","Grade 5","Leads experts to deliver high quality economic analysis, critically appraising methods in line with best practice guidelines. This also includes developing and adding to best practice where possible."
33,"Government Economic Service","Application of Knowledge","Expanding the evidence base","Level 1 - Awareness - Apprentice/Placement","EO","Skill not generally expected at this grade. However, some roles may include identifying evidence gaps."
34,"Government Economic Service","Application of Knowledge","Expanding the evidence base","Level 2 – Practitioner: HEO","HEO","Undertakes analysis to fill evidence gaps identified."
35,"Government Economic Service","Application of Knowledge","Expanding the evidence base","Level 2 – Practitioner: SEO","SEO","Takes responsibility for wider analytical projects which address identified evidence gaps."
36,"Government Economic Service","Application of Knowledge","Expanding the evidence base","Level 3 – Expert: G7","Grade 7","Expands and develops the evidence base for future policy development. This includes anticipating evidence gaps and future evidence needs, scoping work projects, managing internal and external analytical programmes and building links with academia and wider research communities."
37,"Government Economic Service","Application of Knowledge","Expanding the evidence base","Level 3 – Expert: G6","Grade 6","Expands and develops the evidence base for future policy development. This includes anticipating evidence gaps and future evidence needs, scoping work programmes, managing internal and external analytical programmes, proactively building networks with academia and wider research communities. Includes finding new ways of influencing policy and keeping up to date with policy debates in the area of expertise."
38,"Government Economic Service","Application of Knowledge","Expanding the evidence base","SCS","Grade 5","Identifies where and how new analysis can provide insight into strategic challenges. Marshalls analytical resources to do so, leveraging external networks where appropriate."
39,"Government Economic Service","Application of Knowledge","Applying appraisal techniques","Level 1 - Awareness - Apprentice/Placement","EO","Is familiar with and learning the basics of techniques such as monetisation and discounting as outlined in the Green Book, in order to apply Cost-Benefit Analysis."
40,"Government Economic Service","Application of Knowledge","Applying appraisal techniques","Level 2 – Practitioner: HEO","HEO","Learns and applies techniques such as monetisation and discounting as outlined in the Green Book, in order to produce Cost-Benefit Analysis."
41,"Government Economic Service","Application of Knowledge","Applying appraisal techniques","Level 2 – Practitioner: SEO","SEO","Uses techniques such as monetisation and discounting as outlined in the Green Book, in order to apply Cost-Benefit Analysis."
42,"Government Economic Service","Application of Knowledge","Applying appraisal techniques","Level 3 – Expert: G7","Grade 7","Uses and supervises the application of techniques such as monetisation and discounting as outlined in the Green Book, in order to apply Cost-Benefit Analysis."
43,"Government Economic Service","Application of Knowledge","Applying appraisal techniques","Level 3 – Expert: G7","Grade 7","· Where appropriate, demonstrates the ability to develop and improve techniques used and actively participate in quality- assurance procedures and processes."
44,"Government Economic Service","Application of Knowledge","Applying appraisal techniques","Level 3 – Expert: G7","Grade 7","· Critically reviews and suggests improvements to techniques to establish/identify robust counterfactuals to effectively measure policy impact and causation as detailed in the Magenta Book."
45,"Government Economic Service","Application of Knowledge","Applying appraisal techniques","Level 3 – Expert: G6","Grade 6","Supervises the application of and critically assesses techniques such as monetisation and discounting as outlined by the Green Book, in order to apply Cost Benefit Analysis. Where needed, this includes balancing conflicting methods and techniques used in the analysis and managing the quality-assurance process."
46,"Government Economic Service","Application of Knowledge","Applying appraisal techniques","Level 3 – Expert: G6","Grade 6","· Critically reviews and suggests improvements to techniques used by the team to establish/identify robust counterfactuals to effectively measure policy impact and causation as detailed in the Magenta Book."
47,"Government Economic Service","Application of Knowledge","Applying appraisal techniques","SCS","Grade 5","Influences stakeholders at all levels to ensure cutting edge, timely appraisal is carried out and influences decisions."
48,"Government Economic Service","Application of Knowledge","Applying appraisal techniques","SCS","Grade 5","· Takes a strategic approach to longer term development of techniques and tools available."
49,"Government Economic Service","Application of Knowledge","Development as an economist","Level 1 - Awareness - Apprentice/Placement","EO","Actively engages in wider learning and development to support formal learning."
50,"Government Economic Service","Application of Knowledge","Development as an economist","Level 2 – Practitioner: HEO","HEO","Develops oneself as a professional economist by continuing to seek out training and support that enables confident delivery of the above."
51,"Government Economic Service","Application of Knowledge","Development as an economist","Level 2 – Practitioner: SEO","SEO","Develops oneself as a professional economist by continuing to seek out training, teaching and coaching opportunities as well as promoting economics that enables confident delivery of the above."
52,"Government Economic Service","Application of Knowledge","Development as an economist","Level 3 – Expert: G7","Grade 7","Keeps up to date with relevant academic literature, developments in data science, techniques (e.g. behavioural insights) and contributes to wider debates within the organisation and economic profession."
53,"Government Economic Service","Application of Knowledge","Development as an economist","Level 3 – Expert: G7","Grade 7","Operates with credibility in an inclusive way, is accountable for the work of the team(s) (where applicable) and champions the economics profession including volunteering as a GES Assessor as per requirements."
54,"Government Economic Service","Application of Knowledge","Development as an economist","Level 3 – Expert: G7","Grade 7","Seeks out mentoring opportunities and/or acts as a mentor (formally or informally) to GES Apprentices, HEOs and SEOs."
55,"Government Economic Service","Application of Knowledge","Development as an economist","Level 3 – Expert: G7","Grade 7","Seeks out opportunities to embed D&I learning to enable inclusive approaches."
56,"Government Economic Service","Application of Knowledge","Development as an economist","Level 3 – Expert: G6","Grade 6","Keeps up to date with the latest relevant academic literature, developments in data science, techniques (e.g., behavioural insights) and contributes to wider debates within the organisation and economic profession."
57,"Government Economic Service","Application of Knowledge","Development as an economist","Level 3 – Expert: G6","Grade 6","Operates with credibility in an inclusive way, is accountable for the work of the team(s) (where applicable) and champions the economics profession."
58,"Government Economic Service","Application of Knowledge","Development as an economist","Level 3 – Expert: G6","Grade 6","Actively keeps abreast of, and contributes to, relevant economic developments within and outside the Department, including internationally, adopting, and promoting good practice."
59,"Government Economic Service","Application of Knowledge","Development as an economist","Level 3 – Expert: G6","Grade 6","Acts as a mentor to GES Apprentices, HEOs SEOs and G7s."
60,"Government Economic Service","Application of Knowledge","Development as an economist","SCS","Grade 5","Engages in senior management events and leadership training sessions to build capability and influence others."
61,"Government Economic Service","Application of Knowledge","Development as an economist","SCS","Grade 5","Acts as a mentor to G6/G7s."
62,"Government Economic Service","Application of Knowledge","Development as an economist","SCS","Grade 5","Can lead and coach policy/economic colleagues and Ministers through analysis and support their understanding."
63,"Government Economic Service","Application of Knowledge","Development as an economist","SCS","Grade 5","Oversees the development of economists by ensuring training and support is accessible."
64,"Government Economic Service","Application of Knowledge","Development as an economist","SCS","Grade 5","Provide highest level QA in line with departmental processes."
65,"Government Economic Service","Analysis of Data","Analysing data","Level 1 - Awareness - Apprentice/Placement","EO","Understands various statistical techniques and can explain choice of method of analysis."
66,"Government Economic Service","Analysis of Data","Analysing data","Level 1 - Awareness - Apprentice/Placement","EO","Considers how data being used has been constructed and what impact this might have on the analysis."
67,"Government Economic Service","Analysis of Data","Analysing data","Level 2 – Practitioner: HEO","HEO","Effectively applies appropriate statistical and spreadsheet software to deliver analysis."
68,"Government Economic Service","Analysis of Data","Analysing data","Level 2 – Practitioner: HEO","HEO","Can determine and apply the appropriate approach from a range of economic and other analytical tools, use judgement where data is incomplete and consider the context."
69,"Government Economic Service","Analysis of Data","Analysing data","Level 2 – Practitioner: HEO","HEO","Seeks input from colleagues/seniors on appropriate data sources and learns to confidently use these."
70,"Government Economic Service","Analysis of Data","Analysing data","Level 2 – Practitioner: SEO","SEO","Reviews, synthesises, and is able to critique and quality assure the analysis of others to ensure it is of high quality."
71,"Government Economic Service","Analysis of Data","Analysing data","Level 2 – Practitioner: SEO","SEO","Provides appropriate challenge to methods and results, and continually evaluates the quality of analysis to ensure that the Department is producing robust economic analysis which can stand up to scrutiny."
72,"Government Economic Service","Analysis of Data","Analysing data","Level 2 – Practitioner: SEO","SEO","Seeks opportunities to review the work of others and to consider its reuse for the benefit of self/team. This may include advising on appropriate data sources."
73,"Government Economic Service","Analysis of Data","Analysing data","Level 3 – Expert: G7","Grade 7","Analyses and handles data for the purposes of producing evidence to directly advise decision makers as well as the wider team."
74,"Government Economic Service","Analysis of Data","Analysing data","Level 3 – Expert: G7","Grade 7","Is proactive and innovative in considering how the data / analysis will be used by non-economists, stakeholders, and Ministers."
75,"Government Economic Service","Analysis of Data","Analysing data","Level 3 – Expert: G6","Grade 6","Is able to steer and challenge where appropriate the analysis, results and evidence produced to advise decision makers as well as the wider team."
76,"Government Economic Service","Analysis of Data","Analysing data","SCS","Grade 5","Is able to identify and interrogate the critical assumptions to understand the strengths and weaknesses of the analysis and the robustness of results and the implications for policy. Is pro-active in communicating these to decision makers."
77,"Government Economic Service","Analysis of Data","Quality Assurance and challenging analysis","Level 1 - Awareness - Apprentice/Placement","EO","Is aware of core QA methods of own work and open to peer review and QA from others."
78,"Government Economic Service","Analysis of Data","Quality Assurance and challenging analysis","Level 2 – Practitioner: HEO","HEO","Provides appropriate challenge to methods and results."
79,"Government Economic Service","Analysis of Data","Quality Assurance and challenging analysis","Level 2 – Practitioner: HEO","HEO","Continually develops and evaluates the quality of analysis to ensure that the department is producing robust economic analysis which can stand up to scrutiny."
80,"Government Economic Service","Analysis of Data","Quality Assurance and challenging analysis","Level 2 – Practitioner: SEO","SEO","Designs Quality Assurance processes and applies them, following departmental best practice , and drawing on sources of external expertise; critically assesses economic analysis and improves it."
81,"Government Economic Service","Analysis of Data","Quality Assurance and challenging analysis","Level 2 – Practitioner: SEO","SEO","Provides appropriate and proportionate critique and challenge to methods and results, in line with the Aqua book.."
82,"Government Economic Service","Analysis of Data","Quality Assurance and challenging analysis","Level 2 – Practitioner: SEO","SEO","Continually develops and evaluates the quality of analysis to ensure that the department is producing robust economic analysis which can stand up to scrutiny."
83,"Government Economic Service","Analysis of Data","Quality Assurance and challenging analysis","Level 3 – Expert: G7","Grade 7","Ensures that appropriate quality-assurance procedures (see aqua book) for economic models are in place and contributes to their implementation"
84,"Government Economic Service","Analysis of Data","Quality Assurance and challenging analysis","Level 3 – Expert: G7","Grade 7","Continually develops and evaluates the quality of analysis to ensure that the department is producing robust economic analysis which can stand up to scrutiny."
85,"Government Economic Service","Analysis of Data","Quality Assurance and challenging analysis","Level 3 – Expert: G7","Grade 7","Challenges input data and assumptions and interprets output data for the purposes of providing supporting evidence, in line with the Aqua Book."
86,"Government Economic Service","Analysis of Data","Quality Assurance and challenging analysis","Level 3 – Expert: G6","Grade 6","Leads quality-assurance processes and determines the right level (e.g., team level, unit level, directorate level, external peer review, etc.)."
87,"Government Economic Service","Analysis of Data","Quality Assurance and challenging analysis","Level 3 – Expert: G6","Grade 6","Challenges input data and assumptions and interprets output data for the purposes of providing supporting evidence on a wider array of topics, in line with the Aqua Book."
88,"Government Economic Service","Analysis of Data","Quality Assurance and challenging analysis","SCS","Grade 5","Ensures profession approved government wide standards (recruitment, development, promotion) are applied in a structured way and maintained within a positive culture of transparent assurance in the department."
89,"Government Economic Service","Analysis of Data","Quality Assurance and challenging analysis","SCS","Grade 5","Being accountable and signing off on key documents."
90,"Government Economic Service","Analysis of Data","Quality Assurance and challenging analysis","SCS","Grade 5","Provides the highest level of QA in line with departmental processes."
91,"Government Economic Service","Analysis of Data","Advising on data sources","Level 1 - Awareness - Apprentice/Placement","EO","Learns about data sources and undertakes training to understand the qualities of datasets"
92,"Government Economic Service","Analysis of Data","Advising on data sources","Level 2 – Practitioner: HEO","HEO","Builds knowledge of data available in own work area and learns the limitations of these datasets"
93,"Government Economic Service","Analysis of Data","Advising on data sources","Level 2 – Practitioner: SEO","SEO","Create and quality assure datasets with appropriate rigour."
94,"Government Economic Service","Analysis of Data","Advising on data sources","Level 3 – Expert: G7","Grade 7","Advises colleagues on the most appropriate source, handling and processing of data sets based on best evidence/economic theory and analysis to form estimates about outcomes of likely policies."
95,"Government Economic Service","Analysis of Data","Advising on data sources","Level 3 – Expert: G6","Grade 6","Advises team colleagues on the most appropriate source, handling, and processing of data sets based on best evidence/economic theory and identifies when to bring in data experts as necessary."
96,"Government Economic Service","Analysis of Data","Advising on data sources","SCS","Grade 5","Influences development of new data sources to maintain or improve analytical capabilities."
97,"Government Economic Service","Analysis of Data","Using Economic models to inform analysis","Level 1 - Awareness - Apprentice/Placement","EO","Acquires knowledge of how models can be used to inform analysis."
98,"Government Economic Service","Analysis of Data","Using Economic models to inform analysis","Level 2 – Practitioner: HEO","HEO","Develops ability to run economic models, under supervision."
99,"Government Economic Service","Analysis of Data","Using Economic models to inform analysis","Level 2 – Practitioner: SEO","SEO","Develops a good understanding of how models can inform analysis, and of their limitations."
100,"Government Economic Service","Analysis of Data","Using Economic models to inform analysis","Level 2 – Practitioner: SEO","SEO","Able to communicate effectively what the model results show."
101,"Government Economic Service","Analysis of Data","Using Economic models to inform analysis","Level 3 – Expert: G7","Grade 7","Supervises analysis informed by economic models, assuring all parts of the process (Inputs, Technical Operation, Outputs, Analysis, and Communication of results)."
102,"Government Economic Service","Analysis of Data","Using Economic models to inform analysis","Level 3 – Expert: G6","Grade 6","Ensures that economic models are quality assured, consistent with the principles outlined in the Aqua Book."
103,"Government Economic Service","Analysis of Data","Using Economic models to inform analysis","Level 3 – Expert: G6","Grade 6","Can make the case to non-technical stakeholders for how new or existing Economic Modelling / Estimation / Forecasting could help to inform work, policy and departmental objectives."
104,"Government Economic Service","Analysis of Data","Using Economic models to inform analysis","SCS","Grade 5","Is accountable for the governance of models, with structured quality assurance and approval processes."
105,"Government Economic Service","Analysis of Data","Using Economic models to inform analysis","SCS","Grade 5","Ensures modelling stands up to external scrutiny, engaging across government and beyond."
106,"Government Economic Service","Analysis of Data","Understanding results, including identifying assumptions, risks and sensitivities","Level 1 - Awareness - Apprentice/Placement","EO","Understands what assumptions have been made and why."
107,"Government Economic Service","Analysis of Data","Understanding results, including identifying assumptions, risks and sensitivities","Level 2 – Practitioner: HEO","HEO","Applies appropriate assumptions to analysis and clearly communicates the rationale and the associated risks."
108,"Government Economic Service","Analysis of Data","Understanding results, including identifying assumptions, risks and sensitivities","Level 2 – Practitioner: HEO","HEO","Is able to interpret analytical outputs."
109,"Government Economic Service","Analysis of Data","Understanding results, including identifying assumptions, risks and sensitivities","Level 2 – Practitioner: SEO","SEO","Can evaluate assumptions made by self and other."
110,"Government Economic Service","Analysis of Data","Understanding results, including identifying assumptions, risks and sensitivities","Level 2 – Practitioner: SEO","SEO","Understands of impact of assumptions on results."
111,"Government Economic Service","Analysis of Data","Understanding results, including identifying assumptions, risks and sensitivities","Level 3 – Expert: G7","Grade 7","Identifies disparities, considers options to resolve and recommends. analytical solutions."
112,"Government Economic Service","Analysis of Data","Understanding results, including identifying assumptions, risks and sensitivities","Level 3 – Expert: G7","Grade 7","Ensures that assumptions underpinning results are transparently presented with results."
113,"Government Economic Service","Analysis of Data","Understanding results, including identifying assumptions, risks and sensitivities","Level 3 – Expert: G7","Grade 7","Identifies key risks and assesses impact on results with sensitivity analysis."
114,"Government Economic Service","Analysis of Data","Understanding results, including identifying assumptions, risks and sensitivities","Level 3 – Expert: G6","Grade 6","Identifies disparities with wider context and where disparities exist, including with findings from other teams, challenges with staff and provides support to resolve."
115,"Government Economic Service","Analysis of Data","Understanding results, including identifying assumptions, risks and sensitivities","Level 3 – Expert: G6","Grade 6","Works with teams to ensure assumptions are clearly and transparently presented with results."
116,"Government Economic Service","Analysis of Data","Understanding results, including identifying assumptions, risks and sensitivities","Level 3 – Expert: G6","Grade 6","Works with teams to identify key risks and offer advice and challenge on sensitivities to test them."
117,"Government Economic Service","Analysis of Data","Understanding results, including identifying assumptions, risks and sensitivities","SCS","Grade 5","Ensures key information is distilled for senior and ministerial audiences without loss of rigour."
118,"Government Economic Service","Analysis of Data","Understanding results, including identifying assumptions, risks and sensitivities","SCS","Grade 5","Influences decisions to mitigate key risks, understands sensitivities in advice given."
119,"Government Economic Service","Analysis of Data","Applying econometric knowledge","Level 1 - Awareness - Apprentice/Placement","EO","Skill not normally expected at grade, but initiative and learning are part of the apprenticeship programme."
120,"Government Economic Service","Analysis of Data","Applying econometric knowledge","Level 2 – Practitioner: HEO","HEO","With support, will be able to identify opportunities for econometric analysis and carry it out depending on previous academic training."
121,"Government Economic Service","Analysis of Data","Applying econometric knowledge","Level 2 – Practitioner: HEO","HEO","Will continue to invest in learning within this area."
122,"Government Economic Service","Analysis of Data","Applying econometric knowledge","Level 2 – Practitioner: SEO","SEO","Generally well placed to identify opportunities for econometric analysis and carry it out depending on previous academic and work training."
123,"Government Economic Service","Analysis of Data","Applying econometric knowledge","Level 3 – Expert: G7","Grade 7","Where relevant, applies econometric knowledge to fully understand how model inputs are estimated as well as being aware of issues related to model specification and efficiency and how they impact on estimates."
124,"Government Economic Service","Analysis of Data","Applying econometric knowledge","Level 3 – Expert: G6","Grade 6","Where relevant, identified opportunities for the team to apply econometric knowledge, including fully understanding how model inputs are estimated as well as being aware of issues related to model specification and efficiency and how they impact on estimates."
125,"Government Economic Service","Analysis of Data","Applying econometric knowledge","SCS","Grade 5","Adopts a wider perspective with regards modelling best practice, enables high quality data and systems to perform best practice econometrics where beneficial."
126,"Government Economic Service","Analysis of Data","Using technical IT skills","Level 1 - Awareness - Apprentice/Placement","EO","Develops ability to use Excel and other software packages, is willing to continuously improve skills."
127,"Government Economic Service","Analysis of Data","Using technical IT skills","Level 2 – Practitioner: HEO","HEO","Is comfortable with applying and developing skills with Excel and other relevant software packages."
128,"Government Economic Service","Analysis of Data","Using technical IT skills","Level 2 – Practitioner: SEO","SEO","Develops and applies advanced skills in using Excel and other relevant software packages."
129,"Government Economic Service","Analysis of Data","Using technical IT skills","Level 3 – Expert: G7","Grade 7","Ensures self and team have relevant skills and resources to be comfortable using relevant software packages (Excel, and others as used in relevant department e.g., SPSS, STATA, R, SAS, etc.)."
130,"Government Economic Service","Analysis of Data","Using technical IT skills","Level 3 – Expert: G6","Grade 6","Ensures team has relevant skills and resources to be comfortable using relevant software packages (Excel, and others as used in relevant department e.g., SPSS, STATA, R, SAS, etc.)."
131,"Government Economic Service","Analysis of Data","Using technical IT skills","SCS","Grade 5","Ensures economists within departments are adequately resourced with learning software relevant for their roles but also future progression."
132,"Government Economic Service","Analysis of Data","Using technical IT skills","SCS","Grade 5","Actively seeks opportunities for collaboration and for GES members to grow and develop their IT, Digital and Analytical Software experience and skill set."
133,"Government Economic Service","Effective Communication","Analysing data","Level 1 - Awareness - Apprentice/Placement","EO","Understands various statistical techniques and can explain choice of method of analysis."
134,"Government Economic Service","Effective Communication","Analysing data","Level 1 - Awareness - Apprentice/Placement","EO","Considers how data being used has been constructed and what impact this might have on the analysis."
135,"Government Economic Service","Effective Communication","Analysing data","Level 2 – Practitioner: HEO","HEO","Effectively applies appropriate statistical and spreadsheet software to deliver analysis."
136,"Government Economic Service","Effective Communication","Analysing data","Level 2 – Practitioner: HEO","HEO","Can determine and apply the appropriate approach from a range of economic and other analytical tools, use judgement where data is incomplete and consider the context."
137,"Government Economic Service","Effective Communication","Analysing data","Level 2 – Practitioner: HEO","HEO","Seeks input from colleagues/seniors on appropriate data sources and learns to confidently use these."
138,"Government Economic Service","Effective Communication","Analysing data","Level 2 – Practitioner: SEO","SEO","Reviews, synthesises, and is able to critique and quality assure the analysis of others to ensure it is of high quality."
139,"Government Economic Service","Effective Communication","Analysing data","Level 2 – Practitioner: SEO","SEO","Provides appropriate challenge to methods and results, and continually evaluates the quality of analysis to ensure that the Department is producing robust economic analysis which can stand up to scrutiny."
140,"Government Economic Service","Effective Communication","Analysing data","Level 2 – Practitioner: SEO","SEO","Seeks opportunities to review the work of others and to consider its reuse for the benefit of self/team. This may include advising on appropriate data sources."
141,"Government Economic Service","Effective Communication","Analysing data","Level 3 – Expert: G7","Grade 7","Analyses and handles data for the purposes of producing evidence to directly advise decision makers as well as the wider team."
142,"Government Economic Service","Effective Communication","Analysing data","Level 3 – Expert: G7","Grade 7","Is proactive and innovative in considering how the data / analysis will be used by non-economists, stakeholders, and Ministers."
143,"Government Economic Service","Effective Communication","Analysing data","Level 3 – Expert: G6","Grade 6","Is able to steer and challenge where appropriate the analysis, results and evidence produced to advise decision makers as well as the wider team."
144,"Government Economic Service","Effective Communication","Analysing data","SCS","Grade 5","Is able to identify and interrogate the critical assumptions to understand the strengths and weaknesses of the analysis and the robustness of results and the implications for policy. Is pro-active in communicating these to decision makers."
145,"Government Economic Service","Effective Communication","Quality Assurance and challenging analysis","Level 1 - Awareness - Apprentice/Placement","EO","Is aware of core QA methods of own work and open to peer review and QA from others."
146,"Government Economic Service","Effective Communication","Quality Assurance and challenging analysis","Level 2 – Practitioner: HEO","HEO","Provides appropriate challenge to methods and results."
147,"Government Economic Service","Effective Communication","Quality Assurance and challenging analysis","Level 2 – Practitioner: HEO","HEO","Continually develops and evaluates the quality of analysis to ensure that the department is producing robust economic analysis which can stand up to scrutiny."
148,"Government Economic Service","Effective Communication","Quality Assurance and challenging analysis","Level 2 – Practitioner: SEO","SEO","Designs Quality Assurance processes and applies them, following departmental best practice , and drawing on sources of external expertise; critically assesses economic analysis and improves it."
149,"Government Economic Service","Effective Communication","Quality Assurance and challenging analysis","Level 2 – Practitioner: SEO","SEO","Provides appropriate and proportionate critique and challenge to methods and results, in line with the Aqua book.."
150,"Government Economic Service","Effective Communication","Quality Assurance and challenging analysis","Level 2 – Practitioner: SEO","SEO","Continually develops and evaluates the quality of analysis to ensure that the department is producing robust economic analysis which can stand up to scrutiny."
151,"Government Economic Service","Effective Communication","Quality Assurance and challenging analysis","Level 3 – Expert: G7","Grade 7","Ensures that appropriate quality-assurance procedures (see aqua book) for economic models are in place and contributes to their implementation"
152,"Government Economic Service","Effective Communication","Quality Assurance and challenging analysis","Level 3 – Expert: G7","Grade 7","Continually develops and evaluates the quality of analysis to ensure that the department is producing robust economic analysis which can stand up to scrutiny."
153,"Government Economic Service","Effective Communication","Quality Assurance and challenging analysis","Level 3 – Expert: G7","Grade 7","Challenges input data and assumptions and interprets output data for the purposes of providing supporting evidence, in line with the Aqua Book."
154,"Government Economic Service","Effective Communication","Quality Assurance and challenging analysis","Level 3 – Expert: G6","Grade 6","Leads quality-assurance processes and determines the right level (e.g., team level, unit level, directorate level, external peer review, etc.)."
